B L 84H Name
55°36'32.78780" 86°07'23.07900" 104.600 p496
55°36'32.90460" 86°07'22.94775" 104.600 p497
55°36'33.09432" 86°07'22.75368" 104.500 p498
55°36'33.27876" 86°07'22.57404" 104.500 p499
55°36'33.47480" 86°07'22.37880" 104.400 p500
55°36'33.66948" 86°07'22.18044" 104.500 p501
55°36'33.87156" 86°07'21.98268" 104.500 p502
55°36'34.06368" 86°07'21.79224" 104.500 p503
55°36'34.26030" 86°07'21.60435" 104.500 p504
55°36'34.45560" 86°07'21.40365" 104.700 p505
55°36'34.66272" 86°07'21.19836" 104.900 p506
55°36'34.86528" 86°07'21.00240" 105.400 p507
55°36'35.09520" 86°07'20.77650" 106.300 p508
55°36'35.27736" 86°07'21.02148" 106.500 p509
55°36'35.14740" 86°07'21.16040" 105.900 p510
55°36'34.94256" 86°07'21.36300" 105.200 p511
55°36'34.76532" 86°07'21.53400" 104.900 p512
